batch,model,dataset,coverage,set_size,accuracy,time_seconds
Conformal,densenet121,MURA,1.0,2.0,0.5666666666666667,18.373071908950806
MC_Dropout,densenet121,MURA,0.6666666666666666,1.1,0.6,71.38237071037292
Conformal_Physics,densenet121,MURA,0.7333333333333333,1.5,0.5666666666666667,16.530117511749268
Conformal,densenet121,LERA,1.0,3.933333333333333,0.23333333333333334,17.626973867416382
MC_Dropout,densenet121,LERA,0.23333333333333334,1.0,0.23333333333333334,78.11590623855591
Conformal_Physics,densenet121,LERA,0.4666666666666667,1.9333333333333333,0.4,18.76990246772766
Conformal,densenet121,Montgomery,1.0,2.0,0.43333333333333335,30.41206169128418
MC_Dropout,densenet121,Montgomery,1.0,2.0,0.43333333333333335,94.46418333053589
Conformal_Physics,densenet121,Montgomery,0.6666666666666666,1.2666666666666666,0.5333333333333333,28.91730809211731
Conformal,resnet50,MURA,1.0,2.0,0.4666666666666667,13.829992771148682
MC_Dropout,resnet50,MURA,1.0,2.0,0.5,52.37237596511841
Conformal_Physics,resnet50,MURA,0.8333333333333334,1.8333333333333333,0.3333333333333333,13.685134649276733
Conformal,resnet50,LERA,0.9,3.8,0.13333333333333333,16.73140025138855
MC_Dropout,resnet50,LERA,0.13333333333333333,1.0,0.16666666666666666,54.567994356155396
Conformal_Physics,resnet50,LERA,0.5,2.0,0.2,15.289026498794556
Conformal,resnet50,Montgomery,1.0,2.0,0.4666666666666667,28.345471143722534
MC_Dropout,resnet50,Montgomery,1.0,2.0,0.5333333333333333,56.41645121574402
Conformal_Physics,resnet50,Montgomery,0.8333333333333334,1.7,0.5333333333333333,29.610607862472534
Conformal,efficientnet_b0,MURA,1.0,2.0,0.4666666666666667,6.082061290740967
MC_Dropout,efficientnet_b0,MURA,1.0,2.0,0.6,22.610257387161255
Conformal_Physics,efficientnet_b0,MURA,0.9666666666666667,1.9,0.5666666666666667,6.312479496002197
Conformal,efficientnet_b0,LERA,1.0,3.933333333333333,0.3333333333333333,7.320176362991333
MC_Dropout,efficientnet_b0,LERA,0.13333333333333333,1.0,0.36666666666666664,22.766054391860962
Conformal_Physics,efficientnet_b0,LERA,0.36666666666666664,1.8,0.3,7.736281871795654
Conformal,efficientnet_b0,Montgomery,1.0,2.0,0.6333333333333333,20.21098828315735
MC_Dropout,efficientnet_b0,Montgomery,1.0,2.0,0.5,28.684813022613525
Conformal_Physics,efficientnet_b0,Montgomery,1.0,1.9666666666666666,0.3333333333333333,20.757478713989258
